PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
892,0,3,"Kelly, Mr. James",0.45272319662402744,0,0,0.015281580671177828,1,1,0
893,1,3,"Wilkes, Mrs. James (Ellen Needs)",0.6175656072794409,1,0,0.013663090060062943,0,0,1
894,0,2,"Myles, Mr. Thomas Francis",0.815376500065937,0,0,0.018908740708122825,1,1,0
895,0,3,"Wirz, Mr. Albert",0.3538177502307794,0,0,0.016908073949327893,1,0,1
896,1,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",0.287880785968614,1,1,0.023983602730431916,0,0,1
897,0,3,"Svensson, Mr. Johan Cervin",0.18238164314914942,0,0,0.01800600082915438,1,0,1
898,1,3,"Connolly, Miss. Kate",0.3933799287880786,0,0,0.014891206669461744,0,1,0
899,0,2,"Caldwell, Mr. Albert Francis",0.34063035737834635,1,1,0.056604230248832196,1,0,1
900,1,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",0.23513121455888172,0,0,0.014110458666029575,0,0,0
901,0,3,"Davies, Mr. John Samuel",0.27469339311618096,2,0,0.04713766070721715,1,0,1
902,0,3,"Ilieff, Mr. Ylio",0.3538177502307794,0,0,0.015411575213749286,1,0,1
903,0,1,"Jones, Mr. Charles Cresson",0.6043782144270078,0,0,0.050748620223090936,1,0,1
904,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",0.3010681788210471,1,0,0.16057390443488287,0,0,1
905,0,2,"Howard, Mr. Benjamin",0.8285638929183701,1,0,0.050748620223090936,1,0,1
906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",0.6175656072794409,1,0,0.11940564777490723,0,0,1
907,1,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",0.31425557167348017,1,0,0.05410739813385612,0,0,0
908,0,2,"Keane, Mr. Daniel",0.459316893050244,0,0,0.024105594605968193,1,1,0
909,0,3,"Assaf, Mr. Gerios",0.27469339311618096,0,0,0.014102260811993537,1,0,0
910,1,3,"Ilmakangas, Miss. Ida Livija",0.3538177502307794,1,0,0.015468569817999833,0,0,1
911,1,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",0.5911908215745747,0,0,0.014102260811993537,0,0,0
912,0,1,"Rothschild, Mr. Martin",0.7230647500989055,1,0,0.11594107850967697,1,0,0
913,0,3,"Olsen, Master. Artur Karl",0.11644467888698405,0,1,0.0061889894232067975,1,0,1
914,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",0.3538177502307794,0,0,0.06184168304285603,0,0,1
915,0,1,"Williams, Mr. Richard Norris II",0.27469339311618096,0,1,0.11980421963065935,1,0,0
916,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",0.630753000131874,1,3,0.5121218935012878,0,0,0
917,0,3,"Robins, Mr. Alexander A",0.6571277858367401,1,0,0.028302115124416098,1,0,1
918,1,1,"Ostby, Miss. Helene Ragnhild",0.287880785968614,0,1,0.1209753416358076,0,0,0
919,0,3,"Daher, Mr. Shedid",0.29447448239483054,0,0,0.014102260811993537,1,0,0
920,0,1,"Brady, Mr. John Bertram",0.5384412501648425,0,0,0.05953203526170282,1,0,1
921,0,3,"Samaan, Mr. Elias",0.3538177502307794,2,0,0.04231498029001666,1,0,0
922,0,2,"Louch, Mr. Charles Alexander",0.6571277858367401,1,0,0.050748620223090936,1,0,1
923,0,2,"Jefferys, Mr. Clifford Thomas",0.31425557167348017,2,0,0.061483905270283246,1,0,1
924,1,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",0.43294210734537786,1,2,0.04015972542654215,0,0,1
